iter	Passed	Remaining
0	57	57471
1	57	28870
2	58	19335
3	58	14568
4	58	11731
5	59	9859
6	59	8492
7	60	7465
8	60	6665
9	60	6025
10	61	5500
11	61	5062
12	61	4688
13	62	4380
14	62	4103
15	62	3867
16	63	3659
17	63	3471
18	63	3301
19	64	3150
20	64	3012
21	64	2886
22	65	2770
23	65	2664
24	65	2569
25	66	2478
26	66	2396
27	66	2322
28	67	2254
29	67	2187
30	67	2122
31	68	2072
32	68	2015
33	69	1961
34	69	1911
35	69	1863
36	69	1819
37	70	1777
38	70	1736
39	70	1697
40	70	1660
41	71	1627
42	71	1597
43	72	1568
44	72	1538
45	72	1509
46	73	1482
47	73	1454
48	73	1429
49	73	1405
50	74	1385
51	74	1365
52	75	1344
53	75	1322
54	75	1302
55	76	1282
56	76	1263
57	76	1245
58	76	1227
59	77	1210
60	77	1193
61	77	1177
62	78	1161
63	78	1145
64	78	1131
65	78	1117
66	79	1104
67	79	1091
68	79	1079
69	80	1066
70	80	1054
71	80	1042
72	81	1030
73	81	1019
74	81	1007
75	81	996
76	82	987
77	82	978
78	83	969
79	83	960
80	83	950
81	84	940
82	84	929
83	84	920
84	84	911
85	84	903
86	85	895
87	85	887
88	85	880
89	86	872
90	86	865
91	86	857
92	87	850
93	87	843
94	87	837
95	88	831
96	88	826
97	89	819
98	89	814
99	89	809
100	90	803
101	90	797
102	90	790
103	91	784
104	91	778
105	91	772
106	92	768
107	92	762
108	92	756
109	92	750
110	93	745
111	93	739
112	93	734
113	93	729
114	94	724
115	94	719
116	94	713
117	94	708
118	95	704
119	95	699
120	95	695
121	95	690
122	96	686
123	96	682
124	96	678
125	97	673
126	97	670
127	97	667
128	98	664
129	98	661
130	99	657
131	99	653
132	99	650
133	99	646
134	100	642
135	100	638
136	100	635
137	101	631
138	101	628
139	101	625
140	102	622
141	102	617
142	102	614
143	102	610
144	103	607
145	103	604
146	103	601
147	104	598
148	104	596
149	104	593
150	105	591
151	105	588
152	105	584
153	105	581
154	106	578
155	106	575
156	106	572
157	106	570
158	107	567
159	107	564
160	107	560
161	107	558
162	108	555
163	108	553
164	108	550
165	109	547
166	109	545
167	109	542
168	110	541
169	110	538
170	110	536
171	110	534
172	111	532
173	111	530
174	111	527
175	112	525
176	112	523
177	112	521
178	113	519
179	113	517
180	113	515
181	114	513
182	114	511
183	114	509
184	115	506
185	115	504
186	115	502
187	115	500
188	116	498
189	116	496
190	116	494
191	117	492
192	117	490
193	117	489
194	118	487
195	118	485
196	118	484
197	119	482
198	119	480
199	119	478
200	119	476
201	120	474
202	120	472
203	120	471
204	121	469
205	121	467
206	121	466
207	121	464
208	122	463
209	122	461
210	122	459
211	123	457
212	123	456
213	123	454
214	124	452
215	124	451
216	124	449
217	124	447
218	125	446
219	125	444
220	125	442
221	125	441
222	126	439
223	126	437
224	126	436
225	127	435
226	127	434
227	127	432
228	128	431
229	128	429
230	128	428
231	128	427
232	129	425
233	129	424
234	129	422
235	130	421
236	130	419
237	130	418
238	130	416
239	131	415
240	131	414
241	131	412
242	131	411
243	132	409
244	132	408
245	132	407
246	133	405
247	133	404
248	133	403
249	134	402
250	134	400
251	134	399
252	134	398
253	135	397
254	135	395
255	135	394
256	136	393
257	136	392
258	136	391
259	136	389
260	137	388
261	137	387
262	137	386
263	138	384
264	138	383
265	138	382
266	138	381
267	139	379
268	139	378
269	139	377
270	139	376
271	140	374
272	140	373
273	140	372
274	140	371
275	141	370
276	141	369
277	141	368
278	142	367
279	142	366
280	142	365
281	142	364
282	143	363
283	143	361
284	143	360
285	144	359
286	144	358
287	144	357
288	145	356
289	145	355
290	145	354
291	146	354
292	146	353
293	146	352
294	146	351
295	147	350
296	147	349
297	147	348
298	148	347
299	148	346
300	148	345
301	149	345
302	149	344
303	149	343
304	150	342
305	150	341
306	150	339
307	150	339
308	151	338
309	151	337
310	151	336
311	152	335
312	152	334
313	152	333
314	152	332
315	153	331
316	153	330
317	153	329
318	153	328
319	154	327
320	154	326
321	154	325
322	154	324
323	155	323
324	155	322
325	155	322
326	156	321
327	156	320
328	156	319
329	156	318
330	157	317
331	157	316
332	157	315
333	158	315
334	158	314
335	158	313
336	158	312
337	159	311
338	159	311
339	159	310
340	160	309
341	160	308
342	160	308
343	161	307
344	161	307
345	162	306
346	162	305
347	162	305
348	163	304
349	163	303
350	163	302
351	164	302
352	164	301
353	164	300
354	165	300
355	165	299
356	165	298
357	166	298
358	166	297
359	166	296
360	167	296
361	167	295
362	167	294
363	168	293
364	168	293
365	168	292
366	169	291
367	169	291
368	169	290
369	170	289
370	170	289
371	170	288
372	171	287
373	171	286
374	171	286
375	172	285
376	172	284
377	172	284
378	172	283
379	173	282
380	173	281
381	173	281
382	174	280
383	174	280
384	175	279
385	175	279
386	175	278
387	176	277
388	176	277
389	176	276
390	176	275
391	177	274
392	177	274
393	177	273
394	178	272
395	178	272
396	178	271
397	178	270
398	179	269
399	179	269
400	179	268
401	180	267
402	180	267
403	180	266
404	180	265
405	181	265
406	181	264
407	181	264
408	182	263
409	182	262
410	182	261
411	183	261
412	183	260
413	183	260
414	184	259
415	184	259
416	184	258
417	185	257
418	185	257
419	185	256
420	186	255
421	186	255
422	186	254
423	187	254
424	187	253
425	188	253
426	188	252
427	188	252
428	188	251
429	189	250
430	189	250
431	189	249
432	189	248
433	190	248
434	190	247
435	191	247
436	191	246
437	192	246
438	192	245
439	192	245
440	193	244
441	193	244
442	193	243
443	194	243
444	194	242
445	194	241
446	195	241
447	195	240
448	195	240
449	195	239
450	196	238
451	196	238
452	196	237
453	197	236
454	197	236
455	197	236
456	198	235
457	198	235
458	198	234
459	199	233
460	199	233
461	199	232
462	200	232
463	200	231
464	200	230
465	201	230
466	201	229
467	201	229
468	202	228
469	202	228
470	202	227
471	202	226
472	203	226
473	203	225
474	203	225
475	204	224
476	204	224
477	204	223
478	205	223
479	205	222
480	205	222
481	206	221
482	206	221
483	207	220
484	207	220
485	207	219
486	207	219
487	208	218
488	208	217
489	208	217
490	208	216
491	209	216
492	209	215
493	209	214
494	210	214
495	210	213
496	210	213
497	210	212
498	211	212
499	211	211
500	211	210
501	212	210
502	212	209
503	212	209
504	212	208
505	213	208
506	213	207
507	213	207
508	214	206
509	214	206
510	214	205
511	215	204
512	215	204
513	215	203
514	216	203
515	216	203
516	216	202
517	217	201
518	217	201
519	217	200
520	217	200
521	218	199
522	218	199
523	218	198
524	218	197
525	219	197
526	219	196
527	219	196
528	219	195
529	220	195
530	220	194
531	220	194
532	220	193
533	221	193
534	221	192
535	222	192
536	222	191
537	222	191
538	223	190
539	223	190
540	223	189
541	223	189
542	224	188
543	224	188
544	224	187
545	224	187
546	225	186
547	225	185
548	225	185
549	226	184
550	226	184
551	226	183
552	226	183
553	227	182
554	227	182
555	227	182
556	228	181
557	228	181
558	229	180
559	229	180
560	229	179
561	229	179
562	230	178
563	230	178
564	230	177
565	230	177
566	231	176
567	231	176
568	231	175
569	232	175
570	232	174
571	232	174
572	232	173
573	233	173
574	233	172
575	233	172
576	234	171
577	234	171
578	234	170
579	235	170
580	235	169
581	235	169
582	236	168
583	236	168
584	236	167
585	236	167
586	237	166
587	237	166
588	238	166
589	238	165
590	238	165
591	239	164
592	239	164
593	239	163
594	239	163
595	240	162
596	240	162
597	240	161
598	240	161
599	241	160
600	241	160
601	241	159
602	242	159
603	242	158
604	242	158
605	242	157
606	243	157
607	243	156
608	243	156
609	243	155
610	244	155
611	244	155
612	245	154
613	245	154
614	245	153
615	245	153
616	246	152
617	246	152
618	246	151
619	246	151
620	247	150
621	247	150
622	247	149
623	247	149
624	248	148
625	248	148
626	248	147
627	248	147
628	249	147
629	249	146
630	250	146
631	250	145
632	250	145
633	251	144
634	251	144
635	251	143
636	251	143
637	252	143
638	252	142
639	252	142
640	253	141
641	253	141
642	253	140
643	254	140
644	254	140
645	254	139
646	254	139
647	255	138
648	255	138
649	255	137
650	256	137
651	256	136
652	256	136
653	256	135
654	257	135
655	257	135
656	257	134
657	258	134
658	258	133
659	258	133
660	259	132
661	259	132
662	259	131
663	260	131
664	260	131
665	260	130
666	260	130
667	261	129
668	261	129
669	261	128
670	261	128
671	262	127
672	262	127
673	262	127
674	262	126
675	263	126
676	263	125
677	263	125
678	263	124
679	264	124
680	264	123
681	264	123
682	264	122
683	265	122
684	265	122
685	265	121
686	266	121
687	266	120
688	266	120
689	266	119
690	267	119
691	267	118
692	267	118
693	267	118
694	268	117
695	268	117
696	268	116
697	269	116
698	269	116
699	269	115
700	270	115
701	270	114
702	270	114
703	271	113
704	271	113
705	271	113
706	271	112
707	272	112
708	272	111
709	272	111
710	273	111
711	273	110
712	273	110
713	273	109
714	274	109
715	274	108
716	274	108
717	274	107
718	275	107
719	275	107
720	275	106
721	275	106
722	276	105
723	276	105
724	276	104
725	277	104
726	277	104
727	277	103
728	277	103
729	278	102
730	278	102
731	278	101
732	278	101
733	279	101
734	279	100
735	279	100
736	280	99
737	280	99
738	280	99
739	280	98
740	281	98
741	281	97
742	281	97
743	281	96
744	282	96
745	282	96
746	282	95
747	282	95
748	283	94
749	283	94
750	283	94
751	284	93
752	284	93
753	284	92
754	285	92
755	285	92
756	285	91
757	285	91
758	286	90
759	286	90
760	286	90
761	287	89
762	287	89
763	287	88
764	287	88
765	288	88
766	288	87
767	288	87
768	289	86
769	289	86
770	289	86
771	289	85
772	290	85
773	290	84
774	290	84
775	291	84
776	291	83
777	291	83
778	291	82
779	292	82
780	292	82
781	292	81
782	293	81
783	293	80
784	293	80
785	294	80
786	294	79
787	294	79
788	295	78
789	295	78
790	295	78
791	295	77
792	296	77
793	296	76
794	296	76
795	297	76
796	297	75
797	297	75
798	297	74
799	298	74
800	298	74
801	298	73
802	298	73
803	299	72
804	299	72
805	299	72
806	300	71
807	300	71
808	300	71
809	301	70
810	301	70
811	301	69
812	302	69
813	302	69
814	302	68
815	303	68
816	303	67
817	303	67
818	303	67
819	304	66
820	304	66
821	304	65
822	305	65
823	305	65
824	305	64
825	305	64
826	306	64
827	306	63
828	306	63
829	307	62
830	307	62
831	307	62
832	307	61
833	308	61
834	308	60
835	308	60
836	309	60
837	309	59
838	309	59
839	310	59
840	310	58
841	310	58
842	310	57
843	311	57
844	311	57
845	311	56
846	311	56
847	312	55
848	312	55
849	312	55
850	313	54
851	313	54
852	313	54
853	313	53
854	314	53
855	314	52
856	315	52
857	315	52
858	315	51
859	315	51
860	316	51
861	316	50
862	316	50
863	317	49
864	317	49
865	317	49
866	317	48
867	318	48
868	318	48
869	318	47
870	319	47
871	319	46
872	319	46
873	319	46
874	320	45
875	320	45
876	320	44
877	321	44
878	321	44
879	322	43
880	322	43
881	322	43
882	323	42
883	323	42
884	324	42
885	324	41
886	324	41
887	325	40
888	325	40
889	325	40
890	325	39
891	326	39
892	326	39
893	326	38
894	327	38
895	327	38
896	328	37
897	328	37
898	329	36
899	330	36
900	330	36
901	331	36
902	331	35
903	332	35
904	332	34
905	333	34
906	333	34
907	333	33
908	334	33
909	334	33
910	334	32
911	334	32
912	335	31
913	335	31
914	335	31
915	336	30
916	336	30
917	336	30
918	337	29
919	337	29
920	337	28
921	338	28
922	338	28
923	338	27
924	339	27
925	339	27
926	340	26
927	340	26
928	341	26
929	341	25
930	341	25
931	342	24
932	342	24
933	342	24
934	343	23
935	343	23
936	344	23
937	344	22
938	345	22
939	345	22
940	346	21
941	346	21
942	347	20
943	347	20
944	347	20
945	348	19
946	348	19
947	348	19
948	349	18
949	349	18
950	349	18
951	350	17
952	350	17
953	350	16
954	351	16
955	351	16
956	352	15
957	352	15
958	353	15
959	353	14
960	353	14
961	354	13
962	354	13
963	354	13
964	355	12
965	355	12
966	355	12
967	355	11
968	356	11
969	356	11
970	356	10
971	357	10
972	357	9
973	357	9
974	357	9
975	358	8
976	358	8
977	358	8
978	359	7
979	359	7
980	359	6
981	359	6
982	360	6
983	360	5
984	360	5
985	361	5
986	361	4
987	361	4
988	362	4
989	362	3
990	362	3
991	362	2
992	363	2
993	363	2
994	363	1
995	363	1
996	364	1
997	364	0
998	364	0
999	365	0
